,View,Title,Time,url
0,1500003,我要離開這個頻道了。,290,lrgCrpJCh34
1,1248680,完整・全解析最有效背單字法 // Comprehensive Method of Vocab Memorization,660,gkVpNq4-wqs
2,1023342,3個訣竅講出一口自然流利英文 // 3 Tips To Sound More Like A Native Speaker,393,6JeTQb3YKYY
3,803355,阿滴英文｜挑戰! 你聽得懂日本英文嗎? feat. Ryu & Yuma,780,beRCHzxz7cM
4,765904,阿滴英文｜挑戰15分鐘完勝學測英文考題! 阿滴vs滴妹大對決!,530,l95ey_v5XTg
5,726760,阿滴英文｜史上最簡單的英文猜謎遊戲 feat. 聖結石 聖嫂Dodo,600,Al-cLgpvu_4
6,729241,阿滴英文｜這群人神作超瞎翻唱! 英文翻譯有及格嗎? feat. 展榮展瑞,720,uT4V2fbWFC4
7,712448,開箱! YouTubers 交換禮物大亂鬥 feat. 白癡公主/囧星人/林辰Buchi/壹加壹,452,HlyD08vTju0
8,692084,滴妹翻唱千年之戀 MV // Crown Cover - A Thousand Years MV,299,oeo0m64_iwY
9,689762,阿滴英文｜字典裡居然都有! 跟放火一起學新加坡式英文 feat. 放火,540,VnCZEkl6Cr8
10,671780,阿滴問與答#6 滴妹跟阿滴誰比較受歡迎？,308,nLh5EJsmrgc
11,654510,阿滴英文｜你好carry! 不要gank我! 打英雄聯盟LOL必懂英文單字,355,VG_njlfMXhk
12,647975,日常英文單字#4【星巴克咖啡】// English Vocabulary: Starbucks Coffee,326,KVlYn4Fnd6k
13,617754,"英文歌分享#4 ""Faded"" // English Song Spotlight (Alan Walker/Iselin Solheim)",444,Q15GXH4E4pw
14,606925,阿滴英文｜Pizza? Police? 這10個單字發音該怎麼唸？,395,EP8m3P_FiyU
15,603472,大學甄試入學超殺英文自介 // How to Kill Professors with Your Self-Introduction,370,9kqPqGwyvK0
16,573154,"阿滴英文｜英文流行歌曲分享 - ""Something Just Like This"" The Chainsmokers & Coldplay",408,PAUQrYgeamg
17,528411,阿滴英文｜Killing spree? Pentakill? 秒懂英雄聯盟連殺系統英文單字,408,7Gp_D1J2aN0
18,527417,50 Facts About Crown // 關於滴妹的50件事,407,GdgNYMD0pNQ
19,519660,10個一定得知道的常用英文句子 // 10 Common English Phrases,296,X84jRQcEiVc
20,510493,"英文歌分享#6 ""Closer"" // English Song Spotlight (The Chainsmokers feat. Halsey)",575,cIVx5Yxzl6E
21,527004,阿滴英文｜美國才有賣的糖果? 又是滴妹最愛的試吃時光! feat. 白癡公主,660,ymqCHolbGtQ
22,494593,關於我要離開頻道這件事。,232,Ait5axzxtNs
23,489149,開箱! YouTubers 聖誕交換禮物 feat. HowHow / 林辰 / 壹加壹,540,AZP_LXlWglY
24,489816,【生日特輯】阿滴的一天 feat. 數不清的YouTubers,312,BNj7J3u8u1Q
25,487476,台灣人常犯的英文錯誤#1 // Common English Mistakes in Taiwan,379,Tsdyv4Uba7s
26,480716,"英文歌分享#2 ""Blank Space"" // English Song Spotlight (Taylor Swift)",382,RuMD2fzja2Y
27,456241,10句常用英文#6【餐廳點餐篇】// 10 English Phrases: Ordering in Restaurants,353,PTPxl5Jz5NM
28,451848,阿滴英文｜高中生注意! 尊遇到的英文學習問題 feat. 人生肥宅x尊,500,02Jl44Mj0fM
29,448954,神速進步 看影片學英文方法 // Improving Your English Quickly with Videos,412,mLscQfiVqlg
